기준연도,종목구분,운영종목,사업체 수,이용객 대상 안전교육 실시(율),직원 대상 내부 안전교육 실시(율),안전관리 매뉴얼_체크리스트 보유(율),자격증 보유 직원 고용(율),시설_장비 대상 자체 안전점검(율),시설_장비 대상 외부 안전검사(율),비상 대피 탈출구 확보(율)
2021,수상,윈드서핑/서핑,237,99,59.8,91.8,34,100,91.8,20.6
2021,수상,스킨스쿠버,419,100,30.8,89,17.8,97.9,81.5,28.8
2021,수상,카누/카약,80,100,73.5,82.4,55.9,100,94.1,26.5
2021,수상,모터보트/파워보트,206,100,83.5,87.3,63.3,100,100,31.6
2021,수상,요트,171,100,51.5,92.6,38.2,100,97.1,41.2
2021,항공,전체,133,100,46.4,85.5,27.7,100,96.7,32.2
2021,항공,패러글라이딩,104,100,51,86.3,29.4,100,98,31.4
2021,항공,행글라이딩,5,100,0,0,0,100,100,0
2021,항공,초경량항공기,12,100,22.2,100,22.2,100,100,44.4
2021,항공,열기구,5,100,75,100,25,100,100,50
2021,항공,스카이다이빙,7,100,33.3,100,33.3,100,66.7,33.3
